Number,Date,SocialMedia,Entertainment,productivity,total,Step,Weather,temporture
1,13-Feb,1.57,1.36,0.15,5.28,3386,SnowShower,32
2,14-Feb,3.6,1.09,0.14,5.18,4054,Sunny,14
3,15-Jan,3.45,2.58,0.28,8.02,647,Cloudy,33
4,16-Feb,3.19,1.22,0.04,5.32,3879,Fair,44
5,17-Feb,3.3,0.35,0.03,4.10,3902,Cloudy,40
6,18-Feb,4.3,2.10,0.25,7.36,3113,PartlyCloudy,39
7,19-Feb,4.12,3.36,0.31,9.43,1774,Sunny,31
8,20-Feb,1.42,1.53,0.10,5.03,1656,Sunny,25
9,21-Feb,2.16,1.12,0.05,4.20,5724,Sunny,37
10,22-Feb,3.19,2.33,0.21,7.22,4012,Sunny,50
11,23-Feb,4.31,2.58,0.22,9.50,3669,Sunny,56
12,24-Feb,1.57,1.49,0.03,4.19,3665,Cloudy,43
13,25-Feb,4.15,2.51,0.04,8.05,2623,Cloudy,39
14,26-Feb,4.04,0.48,0.06,5.43,5403,Cloudy,32
15,27-Feb,3.31,1.53,0.12,6.42,5403,Cloudy,31
16,28-Feb,3.31,1.53,0.09,6.17,1545,PartlyCloudy,30
17,29-Feb,3.31,3.36,0.12,7.36,4752,Sunny,35
18,1-Mar,5.39,1.23,0.7,7.40,595,PartlyCloudy,58
19,2-Mar,2.57,1.18,0.23,5.56,3571,Sunny,50
20,3-Mar,2.48,1.07,0.14,6.22,3682,PartlyCloudy,50
21,4-Mar,1.34,1.07,0.04,3.22.,6591,Sunny,49
22,5-Mar,2.11,3.46,0.29,7.08,9166,RainShower,52
23,6-Mar,2.47,2.37,0.04,6.03,4930,Cloudy,39
24,7-Mar,1.27,1.02,0.15,3.13,6679,Sunny,52
25,8-Mar,2.18,0.42,0.02,3.36,4830,PartlyCloudy,66
26,9-Mar,3.01,1.03,0.39,5.40,2839,RainShower,59
27,10-Mar,3.18,1.37,0.08,6.46,5320,MostlyCloudy,52
